商品名稱	官方商品 slug	本地檔案	官方圖片 URL	官方商品頁	檔案大小	狀態
Adeptus Mechanicus Ironstrider Ballistarius	Ironstrider-Ballistarius-2017	Ironstrider-Ballistarius-2017.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120116001_Ballistar01.jpg	https://www.warhammer.com/en-WW/shop/Ironstrider-Ballistarius-2017	80734	OK
Adeptus Mechanicus Onager Dunecrawler	Onager-Dunecrawler	Onager-Dunecrawler.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120116004_AdMecOnagerDunecrawler01.jpg	https://www.warhammer.com/en-WW/shop/Onager-Dunecrawler	109102	OK
Adeptus Mechanicus Sydonian Dragoon	Sydonian-Dragoon-2017	Sydonian-Dragoon-2017.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120116001_SydonianDragoon01.jpg	https://www.warhammer.com/en-WW/shop/Sydonian-Dragoon-2017	65561	OK
Archaeopter Fusilave	Adeptus-Mechanicus-Archaeopter-Fusilave-2020	Adeptus-Mechanicus-Archaeopter-Fusilave-2020.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120116024_AMFusilaveLead.jpg	https://www.warhammer.com/en-WW/shop/Adeptus-Mechanicus-Archaeopter-Fusilave-2020	81601	OK
Archaeopter Stratoraptor	Adeptus-Mechanicus-Archaeopter-Stratoraptor-2020	Adeptus-Mechanicus-Archaeopter-Stratoraptor-2020.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120116024_AMStratoraptorLead.jpg	https://www.warhammer.com/en-WW/shop/Adeptus-Mechanicus-Archaeopter-Stratoraptor-2020	99747	OK
Archaeopter Transvector	Adeptus-Mechanicus-Archaeopter-2020	Adeptus-Mechanicus-Archaeopter-2020.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120116024_AMTransvectorLead.jpg	https://www.warhammer.com/en-WW/shop/Adeptus-Mechanicus-Archaeopter-2020	92836	OK
Belisarius Cawl	Adeptus-Mechanicus-Belisarius-Cawl-2017	Adeptus-Mechanicus-Belisarius-Cawl-2017.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120108008_TriumvirateoftheImperium02.jpg	https://www.warhammer.com/en-WW/shop/Adeptus-Mechanicus-Belisarius-Cawl-2017	100327	OK
Corpuscarii Electro-Priests	Ad-Mec-Corpuscarii-Electro-Priests	Ad-Mec-Corpuscarii-Electro-Priests.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120116009_AdMechCorpuscariiElectroPriests01.jpg	https://www.warhammer.com/en-WW/shop/Ad-Mec-Corpuscarii-Electro-Priests	101748	OK
Fulgurite Electro-Priests	Ad-Mec-Fulgurite-Electro-Priests	Ad-Mec-Fulgurite-Electro-Priests.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120116009_AdMechFulguriteElectroPriests01.jpg	https://www.warhammer.com/en-WW/shop/Ad-Mec-Fulgurite-Electro-Priests	88198	OK
Kastelan Robots	Kastelan-Robots-2017	Kastelan-Robots-2017.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120116005_AdMechKastelanRobots01.jpg	https://www.warhammer.com/en-WW/shop/Kastelan-Robots-2017	121220	OK
