中文	英文	分類	常見寫法	核心規則	條目	目前使用單位數
針對	Anti-	目標類型	[針對-X Y+]	24.03	條目/針對｜Anti-.md	8
爆炸	Blast	攻擊骰	[爆炸] 或 [爆炸 X]	24.05	條目/爆炸｜Blast.md	17
突擊	Assault	射擊限制	[突擊]	24.04	條目/突擊｜Assault.md	16
劈砍	Cleave	攻擊骰	[劈砍 X]	24.06	條目/劈砍｜Cleave.md	0
近距離	Close-quarters	射擊限制	[近距離]	24.07	條目/近距離｜Close-quarters.md	0
毀滅傷害	Devastating Wounds	暴擊致傷	[毀滅傷害]	24.10	條目/毀滅傷害｜Devastating Wounds.md	15
額外攻擊	Extra Attacks	近戰武器	[額外攻擊]	24.11	條目/額外攻擊｜Extra Attacks.md	6
危險	Hazardous	攻擊後測試	[危險]	24.15	條目/危險｜Hazardous.md	18
重型	Heavy	命中修正	[重型]	24.16	條目/重型｜Heavy.md	11
無視掩體	Ignores Cover	防禦規則	[無視掩體]	24.18	條目/無視掩體｜Ignores Cover.md	8
曲射	Indirect Fire	射擊方式	[曲射]	24.19	條目/曲射｜Indirect Fire.md	14
騎槍	Lance	衝鋒近戰	[騎槍]	24.21	條目/騎槍｜Lance.md	0
熱熔	Melta	傷害修正	[熱熔 X]	24.25	條目/熱熔｜Melta.md	15
單發	One Shot	使用次數	[單發]	24.26	條目/單發｜One Shot.md	0
手槍	Pistol	同義條目	[手槍]	24.27	條目/手槍｜Pistol.md	11
精準	Precision	攻擊分配	[精準]	24.28	條目/精準｜Precision.md	3
靈能	Psychic	命中修正	[靈能]	24.29	條目/靈能｜Psychic.md	0
速射	Rapid Fire	攻擊骰	[速射 X]	24.30	條目/速射｜Rapid Fire.md	10
連擊	Sustained Hits	暴擊命中	[連擊 X]	24.36	條目/連擊｜Sustained Hits.md	4
洪流	Torrent	命中方式	[洪流]	24.37	條目/洪流｜Torrent.md	6
雙聯	Twin-linked	致傷重擲	[雙聯]	24.38	條目/雙聯｜Twin-linked.md	24
